author,quote
Chandler,You're flingin'-flangin' right I am!
Mike,"Keep in mind, he's never used this product before, you're gonna see how easy this is to do. (to Kevin) Go ahead. ('Kevin' starts using the product, it is a spout that you jab into a paper milk carton so that you don't have to rip it open.) This works with any milk carton."
Joey,"(on TV, finishing installing the Milk Master 2000) Wow, it is easy. (starts to poor the milk) Now, I can have milk everyday."
Chandler,"Well, it's official there are no good movies."
Janice,"Well, let's go to a bad one and make out. (they start to kiss and lean back into Monica.)"
Monica,"Perhaps, you would like me to turn like this, (turns sideways on the couch) so that you can bunny bump against my back."
Joey,(entering) Hey!
Phoebe,Hey.
Chandler,"Hey, man. What's up?"
Joey,Maybe you can tell me. My agent would like to know why I didn't show up at the audition I didn't know I had today. The first good thing she gets me in weeks. How could you not give me the message?!
Chandler,"Well, I'll tell ya I do enjoy guilt, but, ah, it wasn't me."
Phoebe,"Yes, it was! It was him! Uh huh! (they all stare at her) Okay, it was me!"
Joey,How is it you?
Phoebe,"Well, it was just, it was all so crazy, you know. I mean, Chandler was in the closet, counting to 10, and he was up to 7 and I hadn't found a place to hide yet. I-I-I meant to tell you, and I wrote it all down on my hand. See, all of it. (shows him her hand)"
Joey,"Yep, that's my audition."
Monica,"See, now this is why I keep notepads everywhere."
Phoebe,"Yep, and that's why we don't invite you to play."
Janice,What is the great tragedy here? You go get yourself another appointment.
Joey,"Well, Estelle tried, you know. The casting director told her that I missed my chance."
Phoebe,That is unfair. I'll call her and tell her it was totally my fault.
Joey,"Pheebs, you can't do that. The casting director doesn't talk to friends, she only talks to agents."
Phoebe,"What a sad little life she must lead. Okay, ooh (starts dialing)."
Joey,"What, what are you doing? What are you doing?"
Phoebe,"No, no, no, I know, I know, ooh. (on the phone in a different voice) 'Hi, this is Katelynn, from Phoebe Buffay's office. Um, is um, Ann there for Phoebe, she'll know what it's about.'"
Joey,"Hang up, hang up. (reaches with his good arm, but Phoebe grabs it and he tries to reach the phone with his other arm but can't because of the sling.)"
Phoebe,"(on phone) 'Annie! Hi. Listen we got a problem with Joey Tribbiani, apparently he missed his audition. Who did you speak to in my office? Estelle, no, I don't know what I'm going to do with her. No. All right, so your husband leaves and burns down the apartment, the world does not stop.'"
Chandler,Is anybody else scared?
Phoebe,"(on phone) 'Right, well look, um, if Joey loses this audition, that is it for Estelle. I don't care! Annie you are a doll, what time can you see him?' (to Monica) I need a pen. (Chandler hands her one, but she needs something to right on, so she tilts Chandler's head over and writes on the back of his neck)"
Chandler,Get the woman a pad! Get the woman a pad! A pad! A pad!
Monica,"Oh, now you want a pad."
Carol and Susan,(entering) Hey!!
Ross,"There's my boy! Here's my boy! And here's his Barbi (Ben is holding a Barbi doll) What's ah, what's my boy doing with a Barbi?"
Carol,"He picked it out of the toy store himself, he loves it."
Susan,"He carries it everywhere, it's like a security blanket, but with ski boots and a kicky beret."
Ross,"Yeah, it's, it's, it's cute. Why, why, why does he have it, again?"
Susan,So he's got a doll? So what? Unless you're afraid he's gonna grow up and be in show business.
Carol,"This doesn't have anything to do with the fact that he is being raised by two women, does it?"
Ross,"You know what it's fine. If you're okay with the Barbi thing, so am I."
Ross,"Give daddy the Barbi! Ben, give, give me the Barbi. Okay, how 'bout, don't you want to play with the monster truck? (makes a monster truck sound) No. Okay, oh, oh, how about a Dino-soilder? (squawks like a dinosaur)"
Rachel,"Ross, you are so pathetic. Why can't your son just play with his doll? (uses the Milk Master 2000 to pour milk into her cereal)"
Monica,(entering from her bedroom) I gotta go to work. Has anybody seen my left boob?
Joey,I love that movie. (Joey is using it as a pillow)
Monica,"There it is. Joey, what are you doing?"
Joey,"I'm sorry, it just felt nice."
Chandler,(entering with his ringing phone) Joe. Joe! Answer the phone.
Joey,"Hey, I only got one good arm, you know. You should be doing stuff for me. Go get me a sweater."
Chandler,"Just do it! Okay, it's Janice and if I get it I'm going to have to see her tonight. (phone stops ringing) Oh, that's great I'm gonna have to see her tonight."
Rachel,What's the big deal? Why don't you wanna see Janice?
Chandler,"Okay, last night at dinner, when the meals came, she put half her chicken piccata on my plate and took my tomatoes."
Ross,"And that's bad because..., you hate chicken piccata?"
Chandler,Noo.
Ross,"You didn't want to share your tomatoes, tomatoes are very important to you."
Chandler,"No, it's like all of the sudden, we were this couple. And this alarm started going off in my head: 'Run for your life! Get out of the building!'"
Rachel,Men are unbelievable.
Monica,"What is it with you people! I mean, the minute you start to feel something, you have to run away?"
Chandler,"I know, that, (looks at her fake chest, and loses his train of thought, temporarily) that's why I don't want to go tonight, I'm afraid I'm going to say something stupid."
Monica,"Oh, you mean like that guy thing where you act mean and distant until you get us to break up with you."
Joey,"Hey, you know about that?!"
Chandler,"Look what do I do? I wanna get past this, I don't wanna be afraid of the commitment thing. I wanna go through the tunnel, to the other side!"
Ross,(to Joey) Where there is no fear of commitment.
Chandler,Do we have any...(turns around and bumps Monica's fake chest) Do we have any thoughts here?
Joey,"Well, I've never been through the tunnel myself, 'cause as I understand it, you're not allowed to go through with more than one girl in the car, right. But, it seems to me it's pretty much like anything else, you know, face your fear. It have a fear of heights, you go to the top of the building! If you're afraid of bugs.....get a bug. Right. In this case, you have a fear of commitment, so I say you go in there and be the most committed guy there ever was."
Rachel,"Amazingly, that makes sense."
Chandler,You think?
Joey,"Oh, yeah. Go for it man, jump off the high dive, stare down the barrel of the gun, pee into the wind!"
Chandler,"Yeah, Joe, I assure you if I'm staring down the barrel of a gun, I'm pretty much peeing every which way."
Phoebe,"Oh, it's your audition from this morning. Can I use the phone again?"
Rachel,"Sure Pheebs, you know, that's what it's there for, emergencies and pretend agents."
Joey,"Come on baby, come on!"
Phoebe,"(on phone, in 'Katelynn's' voice) 'Hi, I have Phoebe Buffay returning a page. Okay, well, um, she's in her car I'll have to patch you through.'"
Rachel,Very nice touch.
Phoebe,"(in voice, on phone) 'Okay, go ahead.' (in normal voice on phone) Um, hi Annie. (listens) Fantastic! (to Joey) You got it. (on phone) Oh, okay, um, 'Will he work for scale?' you ask me. Well, I don't know about that, (Joey clears his throat to signify yes) except that I do and he will. Great, oh you are such a sweetheart. I would love to have lunch with you, how about we have lunch next....(hangs up phone) Op, went through a tunnel."
Rachel,Unbelievable.
Joey,Thank you so much.
Phoebe,"It was really fun, I mean I've never talked on a car phone before."
Joey,"You were amazing, could you just do me this huge favor, you see there's this one other audition that I really, really want, and Estelle couldn't get me in."
Phoebe,"Oh, I don't know. I mean it was fun one time."
Joey,"Come on, please, it'll be just this one more, well actually it's two."
Phoebe,Two?
Joey,"Yeah! Well, well really it's three. Please. You're so good at it. I love you."
Phoebe,"Okay, I'll do it, but just these three, right"
Joey,"Nooo, four."
Janice,"So, how come you wanted to eat in tonight?"
Chandler,"'Cause, I wanted to uh, give you this. (hands her a present)"
Janice,"Ohhh, are you a puppy! (opens it) Contact paper! I never really know what to say when someone you're sleeping with gives you contact paper."
Chandler,"Well, wait there's, there's more. See the contact paper is to go into your brand new drawer. (gives her a drawer) See, the drawer actually goes in my dresser."
Janice,"Oh, you didn't have to do this."
Chandler,"Yes, I did. Yes, I did. Because, you're my girlfriend, and that's what girlfriends should, should get."
Janice,"Well, I gotta buy a vowel. Because, oh my Gawd! Who, would've thought that someday, Chandler Bing would buy me a drawer."
Chandler,"Well, not me. But that's what's happened, and, ah, and, and there's more. We should take a trip."
Janice,We should?
Chandler,"Yep, we're a couple and that's what couples do. And, I wanna meet your parents. We should take a trip with your parents!"
Janice,"(laughs) I don't think we need to, because you're tripping me out right now! Are you okay?"
Chandler,"I am, I actually am. I mean this is amazing. My entire life I have feared this place, and now that I'm here it's like what was the big deal. I could probably say 'Let's move in together.' and I'd be okay."
Janice,You probably want us to move in together?
Chandler,It doesn't scare me!
Janice,"Yeah, well, it scares me! I mean I not even divorced yet, Chandler. You know, you just invited me over here for pasta, and all of the sudden you're talking about moving in together. And, and I wasn't even that hungry. You know what, it's getting a little late, and I-I should just, um...(starts to leave)"
Chandler,"Oh, no, no, no, don't go! I've scared ya'! I've said too much! I'm hopeless, and awkward, and desperate for love!! (Janice leaves, Chandler then calls Janice to leave a message on her machine) Hey, Janice! It's me. Um, yeah, I-I-I just wanna apologize in advance for having chased you down the street. (runs out the door)"
Rachel,"Honey, this will help. (hands him a tub of ice cream)"
Chandler,"So, I finally catch up to her and she says this relationship is going to fast and we have to slow down."
Rachel and Monica,Uff.
Monica,That is never good.
Chandler,Then I got all needy and clingy.
Rachel,"Okay, wait a minute, wait a minute, wait a minute. Maybe it's not so bad. How did you leave it?"
Chandler,She said she'd call me.
Rachel and Monica,Ohh! (both grab there stomachs in pain)
Chandler,Oh God.
Monica,Welcome to our side of the tunnel.
Chandler,This ice cream tastes like crap by the way.
Rachel,"Yeah, well that's that lo-cal, non dairy, soy milk junk. We sort of, we save the real stuff for those really terminal cases."
Monica,"You know, when you start get screwed over all the time, you gotta switch to low-fat."
Rachel,"Yeah, you do."
Chandler,"So, you don't think I'm terminal?"
Monica,"Well, no, not at all, you're not terminal, you just, you just need some damage control."
Chandler,"Okay, okay. So, should I call her?"
Rachel and Monica,Nooo!
Rachel,"This is a very critical time right now. If you feel yourself reaching for that phone, then you go shoe shopping, you get your butt in a bubble bath. You want her back you have to start acting aloof."
Monica,She has to know that your not ready.
Rachel,"Right. So, what you have to do is, you have to accidentally run into her on purpose. And then act aloof."
Chandler,"So I'm not, not gonna lose her?"
Rachel,"Oooh, honey, you're not a total loser."
Chandler,"I said, 'So I'm not gonna lose her?'"
Rachel,Oh.
Ross,"Guess who's here. It's the toughest guy in toy land, Ben. (singing) 'A real American hero. I'm G.I. Joe!' Drop the Barbi, drop the Barbi."
Rachel,G.I. Joe? Do you really think he's gonna fall for that?
Joey,(entering) G. I. Joe! Cool! Can I play?
Ross,"Look Ben, it's a toy that protects U.S. oil interests overseas!"
Joey and Ross,Go Joe!!!
Phoebe,(entering) Helloo! Oh! (sees Joey and starts to leave)
Joey,Pheebs! There you are!
Phoebe,"No it's not, sorry."
Joey,"But Phoebe, wait! Wait! Phoebe. Phoebe! (catches her in the hallway)"
Phoebe,"Oh, Joey! Oh, okay, see I didn't recognize you wearing, in those....pants."
Joey,"Look listen, that TV movie I went in for? Did you hear anything? I think I got a shot at it."
Phoebe,"Yes! They called and you didn't get it! Okay, I mean you didn't get it, I'm sorry, I'm sorry."
Joey,"It's okay, these things happen."
Phoebe,"But they shouldn't happen, you know what, you're, you're in a terrible, terrible business. Oh God, I don't wanna be the person who makes your face look like that."
Joey,"I'm, I'm okay. See. (tries to smile, but fails horribly)"
Phoebe,"Oh, now you're sad and creepy, oh. You know what, I, I'm sorry I quit, okay, I just quit."
Joey,"No! No, no you can't quit! You're the best agent I ever had! Look Pheebs, rejection is part being an actor, you can't take it personally."
Phoebe,"Not personal, really, well they said that they never met an Italian actor with a worse Italian accent."
Joey,They actually said that?
Phoebe,"Yeah. Ooh God, there's that face again! See I can't do this job! I..."
Joey,"No, no, no, see that's why you have to do this job, agents always lie. You know, Estelle just says stuff like 'They went another way', but this, I can use this. (in a very bad Italian accent) I canna work on a new accent."
Phoebe,"Yeah okay, no if it helps you okay. Yeah."
Ross,"(running into the hall, in slow motion) You'll never get me, Joe!!! (he then pretends that he gets shot repeatedly and falls back against Joey and Chandler's door, dead.)"
Janice,"(to butcher) No, thank you. (Chandler makes a sound and she notices him) Chandler!"
Chandler,"(in a British accent) Hello, Janice."
Janice,What are you doing here?
Chandler,"(in accent) Oh, just a bit of shopping. How've you been?"
Janice,Are you being British?!
Chandler,(normal voice) No. Not anymore.
Janice,Why are you shopping here? You don't live in this neighborhood. Were you here waiting for me?
Chandler,"Yeah, huh. I'm just uh, you know I'm just picking up some things for a party. (grabs a bag off of the shelf)"
Janice,Barley? What kind of party serves barley?
Chandler,"Well, I'm sorry if my friends aren't as sophisticated as yours."
Janice,Where is this party?
Chandler,Here in Chelsea.
Janice,Who's party is it?
Chandler,A woman's
Janice,What woman?!
Chandler,(shyly) Chelsea.
Janice,"Okay, you know, one of two things is happening here. Either you're seeing somebody behind my back, which would make you the biggest jerk on the planet. Or, else you're pretending that you're seeing somebody, which just makes you so pathetic that I could start crying right here in the cereal aisle. So like which of these two guys do you want to be? (another guy walks by)"
Chandler,Can I be that guy?
Phoebe,"Okay, so we got some more good rejections, lots of stuff to work on."
Joey,"Okay, shoot."
Phoebe,"Okay, um, oh, the zoo commercial."
Joey,I didn't get it?
Phoebe,"No. They said you 'Weren't believable as a human being.' So, you can work on that."
Joey,"Okay, what else?"
Phoebe,"Um, the off-Broadway play people said 'You were pretty but dumb.'"
Joey,Oh.
Phoebe,"Oh no wait, I'm sorry, that's 'pretty dumb.'"
Joey,"Look, it's okay, no, no, no, really, look um, I really appreciate this Pheebs, but I think I'm gonna have to go back to Estelle."
Phoebe,Oh.
Joey,"Yeah, well don't get me wrong, you're a better agent than she is, but at least with her I don't want to blow my pretty dumb brains out."
Phoebe,"Yeah, no, I understand."
Joey,"You do, thanks."
Phoebe,Yeah. Sorry. (she starts to leave)
Joey,Wait a minute.
Phoebe,What?
Joey,"Wait a minute, did you just make up all that stuff just to get out of being my agent."
Phoebe,"(in a coy tone) Oh, you caught me. I am so busted."
Joey,"(in a really, really bad Italian accent) That's-ah what I suspected-ah."
Chandler,"....And then I just, you know, threw the bag of barley at her, and ran out of the store."
Monica,"My God! Chandler, we said be 'aloof' not 'a doof'."
Chandler,"I've actually ruined this haven't I? It's time for the good ice cream now, right?"
Rachel,"Yeah, it is."
Monica,"You know what, everything's gonna be okay."
Chandler,"(answering phone) Hello. Hi, Janice! Can you hold on for a second? Okay. (to Monica and Rachel) Okay, what do I do?"
Rachel,"Shhh...I don't know what to do, this is totally unprecedented."
Monica,If-if-if we ever did what you did a man would never call.
Rachel,Yeah.
Chandler,Hello!
Monica,"Oh wait, you know what, I got it, I got it, pretend like you just woke up, okay, that will throw her off. Be sleepy."
Rachel,"Yes, and grumpy."
Chandler,"What are you, stop naming dwarves! (on phone) Hello, Janice. Hi, I'm so glad that you called, I know I've been acting a really weird lately. And, it's just because I'm crazy about you, and I just got...stupid, and, and scared, and....stupid a couple of more times. I'm sorry. (listens) Really?! (listens) Really?!"
Rachel,"He's soo lucky, if Janice were a guy, she'd be sleeping with somebody else by now."
Chandler,(on phone) I love you too.
Monica,"Aw, it's soo unfair. (they both start digging into the 'good' ice cream)"
Carol,G. I. Joe. G. I. Joe?!
Ross,"Hey, I don't know what to tell you guys that's the doll he chose."
Susan,"What'd you do, dip it in sugar?"
Ross,"Look, G. I. Joe's in, Barbi's out. And if you guys can't deal with it, that's your 'too bad.'"
Monica,"What are you being such a weenie for? So he has a Barbi, big deal. You used to dress up like a woman."
Ross,What?
Monica,"Well, you used to dress up in Mom's clothes all the time."
Ross,What are you talking about?
Monica,"The big hat, the pearls, the little pick handbag."
Ross,"Okay, you are totally making this up."
Monica,How can you not remember? You made us call you...Bea.
Ross,(remembering) Oh God.
Susan,I've literally never been this happy.
Monica,Wasn't there a little song?
Carol,"Oh please God, let there be a song."
Ross,There was no song. (to Monica) There was no song!
Monica,(singing) 'I am Bea.'
Ross,Okay.
Monica,'I drink tea.'
Ross,"Okay, that's, that's enough. (retreats to the bathroom)"
Monica,"'....Won't you, won't you, won't you.... '"
Ross,(coming out of the bathroom) Won't you dance around with me.
Monica,"A-ha!!! (they all start laughing, as Ross hides in the bathroom)"
Young Ross,(singing) 'I am Bea. I drink tea. Won't you dance around with....' (spills some tea and it drips onto his/her dress) Ohhh! (runs away crying)
Young Monica,(entering the shot) Ross!!! (starts to wipe up the spill)
Chandler,(entering) Hey!
Joey,Hey!
Chandler,Hey-hey-hey. So what happened? A forest tick you off?
Joey,No. Y'know how were always saying we need a place for the mail.
Chandler,Yeah!
Joey,"Well, I started building one. But then I decided to take it to the next step."
Chandler,Youre building a post office?
Joey,"No, an entertainment unit, with a mail cubby built right in. Its a one day job, max."
Chandler,Okay. (notices that Joey is wearing some really tight jeans) My word! Those are snug.
Joey,"Oh yeah. These are my old work pants, Sergio Valentes."
Joey,Power saw kinda got away from me there.
Rachel,(joining Phoebe outside) Hey Pheebs.
Phoebe,Hey!
Rachel,Any sign of your brother?
Phoebe,"No, but hes always late."
Rachel,I thought you only met him once?
Phoebe,"Yeah, I did. I think it sounds y'know big sistery, y'know, Franks always late."
Rachel,"Well relax, hell be here."
Phoebe,"No, I know, Im just nervous. Y'know its just y'know Moms dead, dont talk to my sister, Grandmas been sleeping a lot lately. Its like the last desperate chance to have a family, y'know, kinda thing. Youre so sweet to wait with me."
Rachel,"Well, actually Gunther sent me. Youre not allowed to have cups out here, its a thing. (takes her cup and goes back inside)"
Chandler,Does anyone else think David Copperfield is cute?
Monica,"No, but he told me, he thinks your a fox."
Chandler,"All right, Janice, likes him. In fact she likes him so much she put him on her freebie list."
Joey,Her what?
Chandler,"Well, we have a deal, where we each get to pick five celebrities that we can sleep with, and the other one cant get mad."
Ross,"Ah, the heart of every healthy relationship. Honesty, respect, and sex with celebrities."
Monica,"So, Chandler, whos on your list?"
Chandler,"Ah, Kim Basinger, Cindy Crawford, Halle Berry, Yasmine Bleeth, and ah, Jessica Rabbit."
Rachel,"Now, you do realize that shes a cartoon, and way out of your league?"
Chandler,"I know, I know, I just always wondered if I could get her eyes to pop out of her head."
Joey,"Hey, Monica, who would yours be?"
Monica,"First, I need a boyfriend, then I can have a list."
Joey,"Its just a game Mon. (makes a Can-you-believe-her face to the rest of the gang.) Rach, how about you?"
Rachel,"Oh, I dont know, I guess, Chris ODonnel, John F. Kennedy, Jr., Daniel Day Lewis, Sting, and Parker Stevenson."
Ross,Spiderman?
Rachel,Hardy Boy.
Chandler,Peter Parker.
Ross,Thank you.
Rachel,"What about you honey, who would be on your list?"
Ross,"Well I-I-I, that kind of thing requires some serious thought. First, Ill divide my perspective canidates into catergories...."
Chandler,(coughing) What a geek!
Phoebe,(entering) Everbody this is Frank! This is my half-brother Frank.
All,"Oh, hi."
Phoebe,This is everybody. This is Ross.
Frank,How are you?
Ross,Hey.
Phoebe,Chandler.
Chandler,Hi.
Frank,Hi.
Phoebe,Joey.
Joey,Hey-hey!
Frank,Hey.
Phoebe,This is Monica.
Frank,Whoa!
Phoebe,And this is Rachel.
Rachel,Hi!
Frank,Whoa!!
Phoebe,Im gonna get coffee.
Frank,"Hey, how do you guys get anything done?"
Chandler,"We dont, really."
Rachel,"Well, so, now, do you guys have a lot of big plans?"
Phoebe,"Oh yeah! Yeah, no, were gonna connect, y'know bond, and everything."
Frank,"Yeah, I was thinking that maybe we could go down to Time Square and pick up some ninja stars. And, oh, um, my friend Larry, he wants me to take a picture of a hooker."
Chandler,"You know, we dont really take advantage of living in the city."
Joey,I know.
Joey,"Oh, Im sorry. Did I get ya?"
Chandler,"No, you didnt get me!! Its an electric drill, you get me, you kill me!!"
Joey,"Calm down, do you want this unit or not?"
Chandler,I do NOT want this unit!!
Joey,"Well, you shouldve told me that before, Im not a mind reader. Hey, were out of beer. Im going to Monicas."
Chandler,"Fine! (goes into his room and slams the door, then he slams the bottom half of the door.)"
Monica,Hey! Where ya headin in those pants? 1982?
Joey,"Oh Monica, listen, I ah, I saw down at the hardware store, they got those designer tiles on sale. If you ever want to redo the bathroom floor."
Monica,"Why, whats wrong with my bathroom floor?"
Joey,"Nothing. Its just old and dingy, thats all."
Monica,I highly doubt that. (they both go to the bathroom)
Joey,"Oh yeah. If you ah, move your hamper, you see what color the tile used to be. (Monica gasps) Yeah."
Monica,I cant live like this! What are we gonna do? What are we gonna do?
Joey,"Relax. Here hold this (hands her his beer). This old stuff just comes right off. (he bends down to try and lift some tile right in the middle of the floor, in his tight pants.)"
Monica,Thats a little more than I wanted to see.
Joey,"(manages to pry off only a small piece) Aw! Look at that, every inch of this stuff is glued down. Itd take forever to pry this up. You should ah, you should just leave it. (starts to walk away, but Monica grabs him)"
Monica,I cant leave it! You gouged a hole in my dingy floor.
Joey,Eh! There you go.
Monica,"You know thats nice, y'know we could put it back there after the surgeons remove it from your colon!"
Phoebe,"(sits up) Oh, ew!"
Frank,What?
Phoebe,"Yeah I know what I wanted to ask you. Um, can you roll your tongue? Because I can, and my Mom couldnt, and I thought y'know, I figured that was something I got from our Dad."
Frank,"What, wait, you mean like this? (does it)"
Phoebe,"Yeah, yeah. You can do it to. (tries to do it, but cant)"
Frank,Your not doing it.
Phoebe,"Oh right, yeah okay, my Mom could, and I cant. We dont have that...."
Frank,Whens your birthday?
Phoebe,Feburary 16th.
Frank,I know a guy whos the 18th.
Phoebe,"Wow, thats close. Whens yours?"
Frank,October 25th.
Phoebe,"Thats the same month as Halloween. So, um, what kinda things do you like to do at home?"
Frank,Melt stuff.
Ross,"Okay, Ive got three of my five."
Rachel,"Three of your five, what?"
Ross,Celebrities Im allowed to sleep with.
Rachel,Oh my God! You are giving this a lot of thought.
Ross,"Yeah, its hard okay, I only have two spots left."
Chandler,"All right, so who do you got it narrowed down to?"
Ross,"Okay, Elizabeth Hurely...."
Chandler,"Oooh-hoo, very attractive, forgiving."
Ross,Susan Sarandon.
Chandler,"Eh, y'know what, shes to political, she probably wouldnt let you do it, unless you donated four cans of food first."
Ross,And!! Isabella Rosselini.
Chandler,"Ooh-hoo. Very hot, very sexy. But ah, y'know shes too international, y'know shes never gonna be around."
Rachel,So?
Chandler,"So, you gotta play the odds, pick somebody whos gonna be in the country like all the time."
Rachel,"Yeah, cause thats why you wont get Isabella Rosselini, geography."
Phoebe,"Okay so, by melting, you meant melting."
Frank,Yeah.
Phoebe,So is it like art?
Frank,"Yeah, you can melt art. Hey, can I use your phone?"
Phoebe,"Um, yeah sure. Why you wanna call your Mom?"
Frank,"No, I wanna melt it."
Phoebe,"Oh, well um, not right now. Y'know Im just gonna go to bed, I think the fumes are giving me a headache."
Frank,(starts laughing) Yeah!
Phoebe,"Gnight, bro."
Frank,Gnight.
Phoebe,"Here. (gives him a fire extinguisher) Y'know, just in case."
Frank,"Oh, excellent. (starts to melt the fire extinguishers hose.)"
Monica,What kind of karate is that?
Phoebe,No kind. He just makes it up.
Monica,So hows it going with you guys?
Phoebe,"So far, it kinda blows. I dont know, I just thought y'know that hed feel more like a brother y'know, like you and Ross, just like close and connected and...."
Monica,"Oh honey, were close now but you-you wouldnt believe the years of-of nugies, and wedgies, and flying wedgies, and atomic wedgies, and....(Phoebe shakes her head like she doesnt understand) Thats where the waistband actually goes over your head."
Phoebe,Ah!!
Monica,"Oh, we used to drive each other crazy playing the shadow game."
Phoebe,"Oh, how do you play the shadow game?"
Monica,"Oh, how do you play the shadow game?"
Phoebe,I just asked you.
Monica,I just asked you.
Phoebe,I dont have time for this.
Monica,"No, that is what the game is."
Phoebe,Which you just gave up really quickly.
Chandler,(entering) Have you seen Joey?
Monica,Whats the matter?
Chandler,"Oh, just this! (turns around and has a paint lid stuck to the back of his pants.) Yknow what its my fault really, because the couch is usually where we keep the varnish."
Joey,"(yelling from bathroom) Hey, does somebody wanna hand me one of those tiles."
Chandler,Whats going on?
Monica,Hes retiling my floor. (they both run to the bathroom)
Chandler,Yo!! Spackel boy! Get up!
Monica,"Ah-ah-ah, now you started this, you will finish it."
Chandler,He started mine first!
Phoebe,"Build the unit Cinderelly, lay the tile Cinderelly."
Frank,Whoa! Big octopus.
Phoebe,"Yeah. (phone rings and Phoebe answers it) Hello. (listens) Oh my God, I totally forgot! (listens) Well cant someone else do it. (listens) But, I have company. (listens) Yeah, no look, thats all right Ill come in. (hangs up phone) Um, Frank, Im really sorry but I have to go to work. Its-its one of my regulars and hes insisting that I do um."
Frank,"Hey, what kind of work do you do?"
Phoebe,Oh! Im a masseuse. I give people massages and stuff.
Frank,You-you work at one of those massage parlors?
Phoebe,"Well, y'know we dont call it that, but yeah!"
Frank,"(starts laughing) Wow! Thats wild! No, I had no idea."
Phoebe,All righty. Ill be back in-in a little bit. Unless you wanna come with me?
Frank,You mean like watch?
Phoebe,"No, no, you can get one yourself. Itll be on the house! Y'know what are big sisters for?"
Frank,"Well, I dont think this, y'know."
Phoebe,"No, no, no, I wouldnt do you myself, I mean that would be weird. Yeah, no, Ill get one of the other girls to do it. Oh, this will be so much fun! Hey! Are you excited?"
Frank,"Yeah! Hey, do Monica and Rachel work there?"
Monica,Its beautiful! Its like the first bathroom floor there ever was. (Chandler tries to go to the bathroom) Whoa! Are you going in there for?
Chandler,"What, like a number?"
Ross,(entering) Hey!
Chandler,Hi! Bye! (runs to the bathroom)
Ross,"Okay, Im done with my choices, these are final. (holds up a little card)"
Rachel,"Well, its about time."
Joey,"Ooh, very official."
Ross,"Oh, yeah, well y'know Chandler printed it up on his computer."
Monica,And who laminated it?
Ross,That would be me.
Rachel,"All right let me see. (grabs the card) Uma Thurman, Winona Ryder, Elizabeth Hurely, Michelle Pfieffer, and Dorothy Hammel?"
Ross,"Hey, its my list."
Rachel,"Okay honey, you do realize she only spins like that on ice."
Frank,"Ow!-Ow!-Ow! Ow! Ow! Ow! Ow! Ow! Ow! Y'know, ow!"
Phoebe,Hey!-Hey! Whats going on?
Frank,She broke my arm.
Girl,He touched my fanny.
Frank,"No, she touched mine first!"
Girl,Thats my job!
Frank,"So wait, whats the deal here, I can have sex with you, but I cant touch you?"
Phoebe and Girl,Ewww!!!
Phoebe,You cant have sex with her!
Girl,"Whatd you think I was, a hooker?"
Frank,"No, your a masseuse, its cool, Im not a cop."
Phoebe,"Okay, Jasmine, can you, can you ask Mr. Whiffler if he can wait for like five minutes."
Jasmine,"Fine. (starts to leave, and points at Frank) I dont like you!! (leaves)"
Phoebe,(turns around and hits Frank) So thats what you thought I did!! God! Thats not what I do!
Frank,"Wait thats-thats, what thats not what you do?"
Phoebe,Nooo! Why would you think that?
Frank,"I dont know, I mean, y'know, this is the city y'know, I just, I mean, I dont know."
Phoebe,"Whatever, its the perfect end to the perfect weekend anyways."
Frank,"Oh, wait, no your right, no it was perfect and I cant believe that I screwed it up so bad."
Phoebe,You really thought it was perfect?
Frank,"Well, no, maybe-maybe it wasnt perfect, but y'know it was pretty cool, y'know, cause we had all those great talks y'know."
Phoebe,"Yeah, um, which ones in particular were great for you?"
Frank,"Well y'know about the tongue thing, y'know, and how I told you about my likes and my dislikes..."
Phoebe,I dont....
Frank,"How-how I like to melt stuff, and how I dislike stuff that doesnt melt."
Phoebe,"Right, okay, um-mm."
Frank,"Yeah, y'know I feel like I can really talk to you cause y'know youre my sister, y'know."
Phoebe,"Yeah, I guess I do, yeah."
Frank,Then I go feel your friend up and make you mad at me.
Phoebe,"Well, I-I wasnt hopping mad, y'know."
Frank,"You hopped a little bit. Yeah, I really sorry."
Phoebe,"Okay. All right, this is my favourite part of the weekend, right now, this."
Frank,This?
Phoebe,Uh-huh.
Frank,"Oh come on we went, we went to Time Square, we found ninja stars, I almost got arm broken by a hooker..."
Phoebe,She wasnt a hooker.
Frank,"Well, when I tell my friends about her she will be."
Chandler,"Okay, on three. One....Two...."
Joey,Why dont we just go on two.
Chandler,Why two?
Joey,Because its faster.
Chandler,"Yeah, I coulda counted to three like four times without all this two talk."
Rachel,Oh!
Joey,"All right, but in the future..."
Ross,Okay!! Okay!!
Rachel,Come on!
Ross,"Heavy thing, not getting lighter!"
Chandler,"Okay, one...two..."
Joey,So we are going on two?
All,"All right!! (they lift it into place, however there is one small problem, the unit is so long that it blocks some of both of their bedroom doors.)"
Chandler,"Oh, good job Joe."
Joey,"Wow, its big!"
Chandler,"Yeah-yeah, so big that it actually makes our doors look smaller!"
Joey,"Maybe, my rulers wrong."
Phoebe,Maybe all the rulers are wrong.
Joey,"Look its not that bad. So what, it blocks a little of your door, a little of my door."
Chandler,"Yeah, y'know what I got a better idea. How-how bout it blocks none of mine door and a lot of yours? (throws his shoulder into the center to try and move it, but it doesnt move.)"
Joey,"Yeah, listen, before I forget that side is still wet."
